Time_s,Inference_Only
4.177,1.0324052603617018
4.181,1.526103813146375
4.184,1.8730124581104879
4.188,1.3984746296829709
4.191,0.73038422848128
4.196,1.2178552750723335
4.2,2.0729534416385422
4.206,1.0640615080421396
4.208,1.2407459835052395
4.213,3.9017866630721807
4.217,1.680635641799427
4.22,3.508471618998481
4.224,2.147445086862063
4.228,1.5523636730458645
4.232,0.9306489000595972
4.236,1.3963579826058723
4.241,1.748148277331155
4.244,1.7913321501528392
4.249,0.9059154286890947
4.252,1.343344526867833
4.258,1.6912882297994427
4.262,1.1658078794487272
4.265,2.268959901842198
4.27,3.245664778144123
4.274,3.1948113602868373
4.279,2.244270515805475
4.282,1.620576504855138
4.285,1.9697641708874283
4.29,0.5511999507656609
4.293,0.6214856757525125
4.297,1.5984284439332477
4.303,1.7392275133903237
4.305,2.5634239696047456
4.31,2.4818331931286632
4.314,1.5484389447989666
4.317,3.627327541497751
4.325,1.542812620773545
4.329,0.8156395944583998
4.333,1.3880653419111066
4.337,2.0347497902606566
4.341,2.0059674885097856
4.346,1.8550628570099552
4.35,1.2879267570422641
4.355,0.2176663595015862
4.359,-0.318820316051708
4.363,-0.0652212180443188
4.366,0.10957749704707531
4.37,0.7924924968395786
4.375,2.935263818396123
4.379,0.40003351399011766
4.384,2.515654106399068
4.387,-0.28820013747119644
4.392,-0.11257337876459683
4.398,-0.11318410603738815
4.4,-0.14178318418272973
4.404,0.5075244812566662
4.408,0.7165542816951711
4.413,0.37552162862780225
4.416,-0.6738839714799512
4.421,-0.25679614892262403
4.424,-0.9087275204692253
4.429,-0.4333810079293321
4.432,-0.11066712983476323
4.437,-0.2237480719066709
4.44,-0.04610146780688451
4.445,-0.05020103192394609
4.449,-0.407951282982983
4.455,-0.11610580812885996
4.459,1.0012886765497386
4.463,2.246188543978869
4.466,1.9500677404107005
4.471,3.6577055619487875
4.474,0.7325587594894296
4.479,3.4224989105028554
4.482,2.0127707624969027
4.486,1.067188189416794
4.492,1.5578621623816895
4.496,2.0677735880311983
4.499,1.9746287490179038
4.502,1.5088500513891172
4.507,1.2503135910623477
4.511,0.6988939550135576
4.516,1.3383713048922372
4.521,1.486328638832962
4.523,2.1374393581803
4.528,4.569457067261547
4.532,1.215930371074986
4.535,3.7514807877417065
4.541,2.005641271298816
4.543,1.401766226760893
4.547,1.3237220048177845
4.551,1.6077082164186924
4.555,2.2291659151252716
4.56,1.6915120696272345
4.564,1.3176816167410452
4.569,0.9010640390688383
4.573,0.8390152532482915
4.58,1.1888845116677205
4.582,1.7371769427753296
4.584,2.5303697454256073
4.589,2.00444908378047
4.594,3.4484409348169183
4.597,1.6000206122979788
4.602,0.8878202838657367
4.606,0.9453834139323112
4.61,1.7655068162986165
4.615,2.178661767483471
4.619,2.4266371614189155
4.623,2.4565034091778384
4.626,1.6000959631809053
4.631,-0.47647862307169575
4.635,0.12665836035266054
4.64,1.6229667574945497
4.645,2.6040904974894166
4.648,2.80500755101993
4.652,3.069426133351493
4.657,2.069288579621191
4.66,2.7156271171907234
4.668,0.4856795505490634
4.672,1.2324825759479978
4.676,2.125208176992738
4.681,2.2751632103007773
4.685,2.4300807258217074
4.69,1.6405354588825398
4.693,0.6588976624641916
4.697,-0.07212902394392184
4.702,1.0929091273767133
4.706,1.7617328122724487
4.711,2.596321678091024
4.714,2.588825411960755
4.717,4.058183447213316
4.721,0.43603542701103715
4.726,2.5005170116124082
4.73,0.8691669970307485
4.732,1.407010793063825
4.736,1.788807305231631
4.74,2.1563238599183396
4.744,2.19369179460283
4.75,1.778318330530543
4.753,1.3170214865534486
4.756,-0.26133671960470206
4.766,1.4433018459573166
4.771,1.7540574007473646
4.773,2.397202424469953
4.776,2.2931271840391108
4.78,1.522555183204191
4.785,3.3531933970036905
4.791,1.7669540149994774
4.798,0.7640332241358863
4.802,1.5454644843383205
4.806,1.8969746023689549
4.811,1.9896280684306507
4.814,1.9968039068374557
4.818,0.9593605328021253
4.821,1.258987995956908
4.827,1.8448231315304717
4.831,1.3878627893400992
4.835,1.6480897897349598
4.838,1.8317189534450273
4.843,2.100537386341678
4.846,2.876054763860287
4.853,3.0721309756055106
4.855,1.9752841032571578
4.861,0.9631502570255899
4.863,1.2965522422396178
4.867,1.9893300044719084
4.876,1.510465087704715
4.879,0.723525485007785
4.886,1.4532863683129293
4.888,1.967685108215917
4.893,1.4388169837080111
4.895,1.8141447740130463
4.9,2.737901294028946
4.903,1.6913112504355183
4.908,3.734401473519534
4.912,2.752570895505845
4.916,2.824284493788271
4.92,1.7308298217753393
4.924,1.2656369033415515
4.928,1.5757441392862477
4.931,1.8243250499732842
4.936,1.659293927571286
4.941,1.3428870132128208
4.946,1.4345581920572053
4.949,2.224080582738101
4.954,1.4371288878395436
4.958,1.3978232505026016
4.961,2.8102148469632864
4.965,2.4067635108099124
4.969,3.380337327910548
4.974,2.0874171356554463
4.978,2.0957653223217303
4.983,1.464470109370093
4.987,1.2104597063068958
4.995,1.672682597731682
4.998,1.674436232259061
5.002,1.4449671540247593
5.006,1.1266048725538003
5.011,2.215376038655888
5.015,1.5376457728286619
5.02,1.596860009883284
5.022,2.3709254112999396
5.027,4.126081261454715
5.03,1.0499914698111201
5.035,3.948425421811147
5.04,2.4103971114631997
5.045,1.8307345330532137
5.047,1.1387676687537516
5.052,1.4140232557251533
5.057,1.9508117060363923
5.061,2.1334600427466843
5.065,2.126541777097126
5.069,1.479605742617656
5.076,1.4039150366159339
5.078,2.052901698733373
5.082,1.655633257794344
5.086,1.4405767070792983
5.091,2.2982804510973045
5.096,3.9823737020570147
5.099,0.7996053102532978
5.106,3.940300655883998
5.108,1.787558320669488
5.112,1.3661433076158476
5.116,1.5050381420748584
5.12,2.029510786167991
5.123,2.0549090421880107
5.128,2.222554228311331
5.131,1.192576413073776
5.137,0.876476045483892
5.141,2.153050504393091
5.145,1.627820810166697
5.15,2.0496187565433903
5.152,2.417899852388539
5.157,3.93981501302303
5.16,0.9438884987436302
5.166,3.901658414361851
5.17,1.9876676039377745
5.174,1.704415342334542
5.178,1.5927772515260328
5.182,1.9401539933793184
5.185,2.048808211835998
5.188,2.25165011026873
5.193,1.1726057145887951
5.198,0.49595277217052125
5.202,1.8196814333143614
5.206,1.2951205934595267
5.211,2.034837698427088
5.214,1.658332429753441
5.217,3.15359696664168
5.221,1.6169974219308374
5.227,3.1908767968633844
